0,0,0,,,,,,,,0
1.666879,7.14999,1.297104,,,,,,,,
2.732894,14.75667,-0.335557,,,,,,,,
-0.053663,-1.51547,-0.000423,,,,,,,,
-0.010039,-0.32793,-0.002522,,,,,,,,
-0.005838,0.0447,0.000038,,,,,,,,
-0.000688,0.0063,0.000086,,,,,,,,
0.000012,0.00033,0.000007,,,,,,,,
-0.00001,-0.00008,-0.000013,,,,,,,,
-0.000039,-0.00023,0.000002,,,,,,,,
-0.000009,0.00002,0.000002,,,,,,,,
-0.000028,-0.00015,0.000001,,,,,,,,
0.000007,0.00001,0.000017,,,,,,,,
0.000049,0.00032,-0.000002,,,,,,,,
-0.000001,-0.00003,-0.000014,,,,,,,,
-0.000025,-0.00019,0.000001,,,,,,,,
-0.000001,0.00001,0.000006,,,,,,,,
0.000007,0.00006,0,,,,,,,,
0.000001,0,-0.000002,,,,,,,,
